status,status_order,impact,impact_order,workspace,plugin,support,name,version,ecosystem,dep_type,tree,risk,last_publish,deprecated,declared_in,notes
unmaintained,0,high,0,backstage,backstage-plugin-catalog-backend-module-github,generally-available,@octokit/webhooks-types,^7.6.1,npm,dependencies,overlays,runtime-prod,2024-10-03,TRUE,workspaces/backstage/metadata/backstage-plugin-catalog-backend-module-github.yaml,npm deprecated: Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.
unmaintained,0,high,0,backstage,backstage-plugin-kubernetes,tech-preview,@material-ui/core,^4.12.2,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/backstage/metadata/backstage-plugin-kubernetes.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,backstage,backstage-plugin-signals,generally-available,@material-ui/core,^4.12.4,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/backstage/metadata/backstage-plugin-signals.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,backstage,backstage-plugin-techdocs,generally-available,@material-ui/core,^4.12.2,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/backstage/metadata/backstage-plugin-techdocs.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,backstage,backstage-plugin-techdocs,generally-available,@material-ui/lab,4.0.0-alpha.61,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/backstage/metadata/backstage-plugin-techdocs.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,backstage,backstage-plugin-techdocs,generally-available,@material-ui/styles,^4.10.0,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/backstage/metadata/backstage-plugin-techdocs.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,backstage,backstage-plugin-techdocs-module-addons-contrib,generally-available,@material-ui/core,^4.12.2,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/backstage/metadata/backstage-plugin-techdocs-module-addons-contrib.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,cost-management,cost-management,tech-preview,@material-ui/core,^4.12.2,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/cost-management/metadata/cost-management.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,cost-management,cost-management,tech-preview,@material-ui/lab,4.0.0-alpha.61,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/cost-management/metadata/cost-management.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
unmaintained,0,high,0,dynatrace-dql,dynatrace-backstage-plugin-dql,generally-available,@material-ui/core,^4.12.2,npm,dependencies,overlays,runtime-prod,2022-04-03,TRUE,workspaces/dynatrace-dql/metadata/dynatrace-backstage-plugin-dql.yaml,npm deprecated: Material UI v4 doesn't receive active development since September 2021. See the guide https://mui.com/material-ui/migration/migration-v4/ to upgrade to v5.
